         13x4.5EP                 (13x45EP.dat)                                12/20/14                       
                                                                                                              
                                                                                                              
         ====== PERFORMANCE DATA (versus advance ratio and MPH) ======                                        
                                                                                                              
         DEFINITIONS:                                                                                         
         J=V/nD (advance ratio)                                                                               
         Ct=T/(rho * n**2 * D**4) (thrust coef.)                                                              
         Cp=P/(rho * n**3 * D**5) (power coef.)                                                               
         Pe=Ct*J/Cp (efficiency)                                                                              
         V  (model speed in MPH)                                                                              
                                                                                                              
                                                                                                              
         PROP RPM =       1000                                                                                
                                                                                                              
         V          J           Pe         Ct          Cp          PWR         Torque      Thrust             
       (mph)     (Adv Ratio)                                       (Hp)        (In-Lbf)     (Lbf)             
         0.0        0.00      0.0000      0.0765      0.0251       0.001       0.046       0.069              
         0.2        0.02      0.0550      0.0750      0.0252       0.001       0.046       0.067              
         0.5        0.04      0.1074      0.0734      0.0252       0.001       0.047       0.066              
         0.7        0.06      0.1572      0.0718      0.0253       0.001       0.047       0.064              
         0.9        0.07      0.2042      0.0701      0.0253       0.001       0.047       0.063              
         1.1        0.09      0.2486      0.0682      0.0253       0.001       0.047       0.061              
         1.4        0.11      0.2902      0.0663      0.0253       0.001       0.047       0.059              
         1.6        0.13      0.3291      0.0643      0.0253       0.001       0.047       0.058              
         1.8        0.15      0.3653      0.0622      0.0252       0.001       0.046       0.056              
         2.0        0.17      0.3988      0.0600      0.0250       0.001       0.046       0.054              
         2.3        0.18      0.4296      0.0578      0.0248       0.001       0.046       0.052              
         2.5        0.20      0.4577      0.0554      0.0246       0.001       0.045       0.050              
         2.7        0.22      0.4831      0.0528      0.0242       0.001       0.045       0.047              
         2.9        0.24      0.5060      0.0503      0.0238       0.001       0.044       0.045              
         3.2        0.26      0.5268      0.0476      0.0234       0.001       0.043       0.043              
         3.4        0.28      0.5451      0.0449      0.0228       0.001       0.042       0.040              
         3.6        0.30      0.5614      0.0421      0.0222       0.001       0.041       0.038              
         3.8        0.31      0.5754      0.0393      0.0214       0.001       0.040       0.035              
         4.1        0.33      0.5870      0.0363      0.0206       0.001       0.038       0.033              
         4.3        0.35      0.5960      0.0333      0.0196       0.001       0.036       0.030              
         4.5        0.37      0.6023      0.0303      0.0186       0.001       0.034       0.027              
         4.8        0.39      0.6062      0.0271      0.0174       0.001       0.032       0.024              
         5.0        0.41      0.6057      0.0239      0.0160       0.000       0.030       0.021              
         5.2        0.42      0.5983      0.0207      0.0147       0.000       0.027       0.019              
         5.4        0.44      0.5821      0.0174      0.0132       0.000       0.024       0.016              
         5.7        0.46      0.5528      0.0140      0.0117       0.000       0.022       0.013              
         5.9        0.48      0.5044      0.0106      0.0101       0.000       0.019       0.009              
         6.1        0.50      0.4221      0.0071      0.0084       0.000       0.015       0.006              
         6.3        0.52      0.2755      0.0036      0.0067       0.000       0.012       0.003              
         6.6        0.54     -0.0033      0.0000      0.0051       0.000       0.009       0.000              
                                                                                                              
                                                                                                              
                                                                                                              
         PROP RPM =       2000                                                                                
                                                                                                              
         V          J           Pe         Ct          Cp          PWR         Torque      Thrust             
       (mph)     (Adv Ratio)                                       (Hp)        (In-Lbf)     (Lbf)             
         0.0        0.00      0.0000      0.0766      0.0251       0.006       0.185       0.275              
         0.5        0.02      0.0549      0.0751      0.0252       0.006       0.186       0.269              
         0.9        0.04      0.1073      0.0735      0.0253       0.006       0.187       0.264              
         1.4        0.06      0.1569      0.0719      0.0253       0.006       0.187       0.258              
         1.8        0.07      0.2039      0.0702      0.0254       0.006       0.187       0.251              
         2.3        0.09      0.2482      0.0683      0.0254       0.006       0.187       0.245              
         2.7        0.11      0.2898      0.0664      0.0254       0.006       0.187       0.238              
         3.2        0.13      0.3287      0.0644      0.0253       0.006       0.187       0.231              
         3.6        0.15      0.3649      0.0623      0.0252       0.006       0.186       0.223              
         4.1        0.17      0.3984      0.0602      0.0251       0.006       0.185       0.216              
         4.5        0.18      0.4292      0.0579      0.0249       0.006       0.184       0.207              
         5.0        0.20      0.4573      0.0555      0.0246       0.006       0.182       0.199              
         5.4        0.22      0.4827      0.0530      0.0243       0.006       0.179       0.190              
         5.9        0.24      0.5057      0.0504      0.0239       0.006       0.176       0.181              
