         8.75x8.25N               (875x825N.dat)                               12/24/14                       
                                                                                                              
                                                                                                              
         ====== PERFORMANCE DATA (versus advance ratio and MPH) ======                                        
                                                                                                              
         DEFINITIONS:                                                                                         
         J=V/nD (advance ratio)                                                                               
         Ct=T/(rho * n**2 * D**4) (thrust coef.)                                                              
         Cp=P/(rho * n**3 * D**5) (power coef.)                                                               
         Pe=Ct*J/Cp (efficiency)                                                                              
         V  (model speed in MPH)                                                                              
                                                                                                              
                                                                                                              
         PROP RPM =       1000                                                                                
                                                                                                              
         V          J           Pe         Ct          Cp          PWR         Torque      Thrust             
       (mph)     (Adv Ratio)                                       (Hp)        (In-Lbf)     (Lbf)             
         0.0        0.00      0.0000      0.0906      0.0490       0.000       0.013       0.017              
         0.3        0.04      0.0682      0.0907      0.0500       0.000       0.013       0.017              
         0.6        0.08      0.1335      0.0908      0.0511       0.000       0.013       0.017              
         0.9        0.11      0.1960      0.0909      0.0523       0.000       0.014       0.017              
         1.2        0.15      0.2557      0.0909      0.0535       0.000       0.014       0.017              
         1.6        0.19      0.3124      0.0910      0.0548       0.000       0.014       0.017              
         1.9        0.23      0.3663      0.0910      0.0560       0.000       0.015       0.017              
         2.2        0.26      0.4172      0.0909      0.0574       0.000       0.015       0.017              
         2.5        0.30      0.4654      0.0908      0.0587       0.000       0.015       0.017              
         2.8        0.34      0.5107      0.0907      0.0601       0.000       0.016       0.017              
         3.1        0.38      0.5533      0.0904      0.0615       0.000       0.016       0.017              
         3.4        0.41      0.5933      0.0901      0.0628       0.000       0.016       0.017              
         3.7        0.45      0.6304      0.0890      0.0637       0.000       0.017       0.017              
         4.1        0.49      0.6646      0.0873      0.0642       0.000       0.017       0.016              
         4.4        0.53      0.6958      0.0848      0.0642       0.000       0.017       0.016              
         4.7        0.56      0.7239      0.0815      0.0635       0.000       0.017       0.015              
         5.0        0.60      0.7488      0.0771      0.0619       0.000       0.016       0.014              
         5.3        0.64      0.7701      0.0717      0.0596       0.000       0.015       0.013              
         5.6        0.68      0.7871      0.0663      0.0570       0.000       0.015       0.012              
         5.9        0.71      0.8003      0.0607      0.0542       0.000       0.014       0.011              
         6.2        0.75      0.8097      0.0551      0.0512       0.000       0.013       0.010              
         6.5        0.79      0.8153      0.0493      0.0478       0.000       0.012       0.009              
         6.9        0.83      0.8132      0.0435      0.0443       0.000       0.012       0.008              
         7.2        0.87      0.8012      0.0376      0.0406       0.000       0.011       0.007              
         7.5        0.90      0.7776      0.0315      0.0366       0.000       0.010       0.006              
         7.8        0.94      0.7370      0.0253      0.0323       0.000       0.008       0.005              
         8.1        0.98      0.6669      0.0189      0.0278       0.000       0.007       0.004              
         8.4        1.02      0.5532      0.0126      0.0231       0.000       0.006       0.002              
         8.7        1.05      0.3556      0.0062      0.0183       0.000       0.005       0.001              
         9.0        1.09      0.0014      0.0000      0.0136       0.000       0.004       0.000              
                                                                                                              
                                                                                                              
                                                                                                              
         PROP RPM =       2000                                                                                
                                                                                                              
         V          J           Pe         Ct          Cp          PWR         Torque      Thrust             
       (mph)     (Adv Ratio)                                       (Hp)        (In-Lbf)     (Lbf)             
         0.0        0.00      0.0000      0.0906      0.0490       0.002       0.051       0.068              
         0.6        0.04      0.0680      0.0907      0.0501       0.002       0.052       0.068              
         1.2        0.08      0.1332      0.0908      0.0512       0.002       0.053       0.068              
         1.9        0.11      0.1956      0.0909      0.0523       0.002       0.054       0.068              
         2.5        0.15      0.2551      0.0909      0.0535       0.002       0.056       0.068              
         3.1        0.19      0.3118      0.0910      0.0548       0.002       0.057       0.068              
         3.7        0.23      0.3655      0.0910      0.0561       0.002       0.058       0.068              
         4.4        0.26      0.4164      0.0909      0.0574       0.002       0.060       0.068              
         5.0        0.30      0.4645      0.0908      0.0587       0.002       0.061       0.068              
         5.6        0.34      0.5098      0.0907      0.0601       0.002       0.063       0.068              
         6.2        0.38      0.5524      0.0905      0.0615       0.002       0.064       0.068              
         6.8        0.41      0.5923      0.0901      0.0628       0.002       0.065       0.067              
         7.5        0.45      0.6294      0.0891      0.0638       0.002       0.066       0.067              
         8.1        0.49      0.6636      0.0874      0.0643       0.002       0.067       0.065              
         8.7        0.53      0.6949      0.0850      0.0643       0.002       0.067       0.063              
         9.3        0.56      0.7231      0.0817      0.0636       0.002       0.066       0.061              
        10.0        0.60      0.7480      0.0773      0.0621       0.002       0.065       0.058              
        10.6        0.64      0.7695      0.0720      0.0597       0.002       0.062       0.054              
        11.2        0.68      0.7865      0.0666      0.0572       0.002       0.059       0.050              
        11.8        0.71      0.8000      0.0610      0.0544       0.002       0.057       0.046              
        12.4        0.75      0.8094      0.0554      0.0513       0.002       0.053       0.041              
        13.1        0.79      0.8151      0.0496      0.0480       0.002       0.050       0.037              
        13.7        0.83      0.8127      0.0438      0.0445       0.001       0.046       0.033              
        14.3        0.86      0.8008      0.0378      0.0408       0.001       0.042       0.028              
        14.9        0.90      0.7777      0.0318      0.0368       0.001       0.038       0.024              
        15.6        0.94      0.7380      0.0256      0.0325       0.001       0.034       0.019              
        16.2        0.98      0.6714      0.0193      0.0280       0.001       0.029       0.014              
        16.8        1.01      0.5603      0.0129      0.0233       0.001       0.024       0.010              
        17.4        1.05      0.3639      0.0064      0.0184       0.001       0.019       0.005              
        18.0        1.09      0.0037      0.0000      0.0136       0.000       0.014       0.000              
                                                                                                              
                                                                                                              
                                                                                                              
         PROP RPM =       3000                                                                                
                                                                                                              
         V          J           Pe         Ct          Cp          PWR         Torque      Thrust             
       (mph)     (Adv Ratio)                                       (Hp)        (In-Lbf)     (Lbf)             
         0.0        0.00      0.0000      0.0906      0.0492       0.005       0.115       0.152              
         0.9        0.04      0.0678      0.0907      0.0502       0.006       0.118       0.152              
         1.9        0.08      0.1329      0.0908      0.0513       0.006       0.120       0.153              
         2.8        0.11      0.1951      0.0909      0.0525       0.006       0.123       0.153              
         3.7        0.15      0.2545      0.0909      0.0537       0.006       0.126       0.153              
         4.7        0.19      0.3111      0.0910      0.0549       0.006       0.129       0.153              
         5.6        0.23      0.3648      0.0910      0.0562       0.006       0.132       0.153              
         6.5        0.26      0.4157      0.0909      0.0575       0.006       0.135       0.153              
         7.5        0.30      0.4638      0.0908      0.0589       0.007       0.138       0.153              
         8.4        0.34      0.5091      0.0907      0.0602       0.007       0.141       0.152              
         9.3        0.38      0.5517      0.0905      0.0616       0.007       0.144       0.152              
