J       CT       CP       eta
0.373   0.0933   0.0580   0.601
0.396   0.0904   0.0578   0.620
0.417   0.0877   0.0574   0.637
0.438   0.0844   0.0568   0.651
0.462   0.0803   0.0558   0.664
0.479   0.0773   0.0550   0.673
0.501   0.0731   0.0536   0.682
0.527   0.0676   0.0515   0.691
0.549   0.0629   0.0496   0.696
0.567   0.0587   0.0477   0.698
0.594   0.0526   0.0447   0.699
0.610   0.0494   0.0432   0.698
0.638   0.0432   0.0399   0.691
0.655   0.0397   0.0380   0.684
0.680   0.0348   0.0352   0.671
0.703   0.0305   0.0328   0.654
0.723   0.0267   0.0307   0.629
0.744   0.0226   0.0281   0.597
0.766   0.0184   0.0255   0.555
0.789   0.0139   0.0224   0.491
0.810   0.0099   0.0195   0.410
0.832   0.0058   0.0166   0.289
0.852   0.0020   0.0137   0.125
0.876   -0.0026   0.0102   -0.219
