         5x4.6E                   (5x46E.dat)                                  12/22/15


         ====== PERFORMANCE DATA (versus advance ratio and MPH) ======

         DEFINITIONS:
         J=V/nD (advance ratio) 
         Ct=T/(rho * n**2 * D**4) (thrust coef.)
         Cp=P/(rho * n**3 * D**5) (power coef.)
         Pe=Ct*J/Cp (efficiency) 
         V  (model speed in MPH) 


         PROP RPM =       5000

         V          J           Pe         Ct          Cp          PWR         Torque      Thrust
       (mph)     (Adv Ratio)                                       (Hp)        (In-Lbf)     (Lbf)
         0.0        0.00      0.0000      0.1905      0.1200       0.004       0.048       0.095
         1.0        0.04      0.0630      0.1897      0.1219       0.004       0.048       0.094
         1.9        0.08      0.1235      0.1888      0.1238       0.004       0.049       0.094
         2.9        0.12      0.1814      0.1877      0.1257       0.004       0.050       0.093
         3.8        0.16      0.2367      0.1864      0.1275       0.004       0.051       0.093
         4.8        0.20      0.2894      0.1848      0.1293       0.004       0.051       0.092
         5.8        0.24      0.3396      0.1830      0.1309       0.004       0.052       0.091
         6.7        0.28      0.3871      0.1809      0.1324       0.004       0.052       0.090
         7.7        0.32      0.4320      0.1783      0.1337       0.004       0.053       0.089
         8.6        0.36      0.4743      0.1752      0.1346       0.004       0.053       0.087
         9.6        0.40      0.5140      0.1716      0.1352       0.004       0.054       0.085
        10.5        0.45      0.5511      0.1673      0.1352       0.004       0.054       0.083
        11.5        0.49      0.5857      0.1623      0.1346       0.004       0.053       0.081
        12.5        0.53      0.6176      0.1564      0.1333       0.004       0.053       0.078
        13.4        0.57      0.6468      0.1497      0.1312       0.004       0.052       0.075
        14.4        0.61      0.6736      0.1419      0.1279       0.004       0.051       0.071
        15.3        0.65      0.6977      0.1331      0.1236       0.004       0.049       0.066
        16.3        0.69      0.7190      0.1243      0.1190       0.004       0.047       0.062
        17.3        0.73      0.7377      0.1155      0.1141       0.004       0.045       0.058
        18.2        0.77      0.7540      0.1070      0.1091       0.003       0.043       0.053
        19.2        0.81      0.7683      0.0977      0.1030       0.003       0.041       0.049
        20.1        0.85      0.7806      0.0881      0.0959       0.003       0.038       0.044
        21.1        0.89      0.7908      0.0781      0.0879       0.003       0.035       0.039
        22.0        0.93      0.7984      0.0678      0.0791       0.002       0.031       0.034
        23.0        0.97      0.8023      0.0572      0.0692       0.002       0.027       0.028
        24.0        1.01      0.8002      0.0462      0.0584       0.002       0.023       0.023
        24.9        1.05      0.7861      0.0350      0.0468       0.001       0.019       0.017
        25.9        1.09      0.7453      0.0235      0.0345       0.001       0.014       0.012
        26.8        1.13      0.6220      0.0119      0.0216       0.001       0.009       0.006
