J       CT       CP       eta
0.386   0.1107   0.0729   0.586
0.410   0.1087   0.0732   0.608
0.435   0.1060   0.0732   0.630
0.454   0.1043   0.0733   0.646
0.477   0.1018   0.0731   0.664
0.500   0.0995   0.0731   0.680
0.521   0.0969   0.0727   0.695
0.544   0.0937   0.0720   0.708
0.569   0.0904   0.0714   0.721
0.587   0.0879   0.0708   0.729
0.612   0.0835   0.0693   0.737
0.632   0.0801   0.0682   0.743
0.657   0.0754   0.0662   0.748
0.677   0.0714   0.0643   0.751
0.704   0.0653   0.0610   0.753
0.722   0.0605   0.0585   0.747
0.748   0.0543   0.0547   0.743
0.766   0.0505   0.0521   0.742
0.794   0.0440   0.0477   0.732
0.812   0.0401   0.0448   0.726
0.838   0.0344   0.0408   0.707
0.855   0.0313   0.0384   0.696
0.885   0.0257   0.0343   0.662
0.902   0.0223   0.0317   0.635
