         15.5x13N                 (155x13N.dat)                                12/21/14                       
                                                                                                              
                                                                                                              
         ====== PERFORMANCE DATA (versus advance ratio and MPH) ======                                        
                                                                                                              
         DEFINITIONS:                                                                                         
         J=V/nD (advance ratio)                                                                               
         Ct=T/(rho * n**2 * D**4) (thrust coef.)                                                              
         Cp=P/(rho * n**3 * D**5) (power coef.)                                                               
         Pe=Ct*J/Cp (efficiency)                                                                              
         V  (model speed in MPH)                                                                              
                                                                                                              
                                                                                                              
         PROP RPM =       1000                                                                                
                                                                                                              
         V          J           Pe         Ct          Cp          PWR         Torque      Thrust             
       (mph)     (Adv Ratio)                                       (Hp)        (In-Lbf)     (Lbf)             
         0.0        0.00      0.0000      0.0909      0.0478       0.003       0.217       0.167              
         0.6        0.04      0.0721      0.0910      0.0488       0.004       0.221       0.167              
         1.1        0.08      0.1410      0.0911      0.0500       0.004       0.227       0.168              
         1.7        0.12      0.2068      0.0912      0.0512       0.004       0.232       0.168              
         2.3        0.15      0.2693      0.0913      0.0525       0.004       0.238       0.168              
         2.8        0.19      0.3284      0.0914      0.0538       0.004       0.244       0.168              
         3.4        0.23      0.3842      0.0914      0.0552       0.004       0.250       0.168              
         4.0        0.27      0.4368      0.0914      0.0567       0.004       0.257       0.168              
         4.5        0.31      0.4860      0.0914      0.0582       0.004       0.264       0.168              
         5.1        0.35      0.5321      0.0913      0.0597       0.004       0.271       0.168              
         5.7        0.39      0.5751      0.0911      0.0612       0.004       0.278       0.167              
         6.2        0.43      0.6151      0.0907      0.0627       0.005       0.285       0.167              
         6.8        0.46      0.6522      0.0899      0.0640       0.005       0.290       0.165              
         7.4        0.50      0.6864      0.0885      0.0648       0.005       0.294       0.163              
         7.9        0.54      0.7177      0.0865      0.0652       0.005       0.296       0.159              
         8.5        0.58      0.7457      0.0837      0.0651       0.005       0.295       0.154              
         9.1        0.62      0.7704      0.0800      0.0643       0.005       0.292       0.147              
         9.6        0.66      0.7914      0.0755      0.0627       0.005       0.284       0.139              
        10.2        0.70      0.8085      0.0698      0.0601       0.004       0.273       0.128              
        10.8        0.73      0.8215      0.0639      0.0572       0.004       0.259       0.118              
        11.4        0.77      0.8308      0.0580      0.0540       0.004       0.245       0.107              
        11.9        0.81      0.8369      0.0520      0.0504       0.004       0.229       0.096              
        12.5        0.85      0.8401      0.0458      0.0464       0.003       0.211       0.084              
        13.1        0.89      0.8411      0.0396      0.0419       0.003       0.190       0.073              
        13.6        0.93      0.8395      0.0332      0.0367       0.003       0.167       0.061              
        14.2        0.97      0.8320      0.0267      0.0310       0.002       0.141       0.049              
        14.8        1.01      0.8128      0.0201      0.0249       0.002       0.113       0.037              
        15.3        1.04      0.7602      0.0135      0.0185       0.001       0.084       0.025              
        15.9        1.08      0.6148      0.0068      0.0120       0.001       0.054       0.013              
        16.5        1.12      0.0017      0.0000      0.0057       0.000       0.026       0.000              
                                                                                                              
                                                                                                              
                                                                                                              
         PROP RPM =       2000                                                                                
                                                                                                              
         V          J           Pe         Ct          Cp          PWR         Torque      Thrust             
       (mph)     (Adv Ratio)                                       (Hp)        (In-Lbf)     (Lbf)             
         0.0        0.00      0.0000      0.0909      0.0479       0.028       0.868       0.669              
         1.1        0.04      0.0719      0.0910      0.0489       0.028       0.888       0.669              
         2.3        0.08      0.1407      0.0911      0.0501       0.029       0.908       0.670              
         3.4        0.12      0.2063      0.0912      0.0513       0.030       0.930       0.671              
         4.5        0.15      0.2686      0.0913      0.0526       0.030       0.954       0.672              
         5.7        0.19      0.3276      0.0914      0.0539       0.031       0.978       0.672              
         6.8        0.23      0.3833      0.0915      0.0553       0.032       1.004       0.673              
         7.9        0.27      0.4358      0.0915      0.0568       0.033       1.030       0.673              
         9.1        0.31      0.4851      0.0915      0.0583       0.034       1.057       0.673              
        10.2        0.35      0.5312      0.0914      0.0598       0.034       1.085       0.672              
        11.3        0.39      0.5742      0.0912      0.0614       0.035       1.113       0.670              
        12.5        0.43      0.6142      0.0908      0.0628       0.036       1.140       0.668              
        13.6        0.46      0.6513      0.0901      0.0641       0.037       1.164       0.663              
