         7.4x7.8C                 (74x78C.dat)                                 12/23/14                       
                                                                                                              
                                                                                                              
         ====== PERFORMANCE DATA (versus advance ratio and MPH) ======                                        
                                                                                                              
         DEFINITIONS:                                                                                         
         J=V/nD (advance ratio)                                                                               
         Ct=T/(rho * n**2 * D**4) (thrust coef.)                                                              
         Cp=P/(rho * n**3 * D**5) (power coef.)                                                               
         Pe=Ct*J/Cp (efficiency)                                                                              
         V  (model speed in MPH)                                                                              
                                                                                                              
                                                                                                              
         PROP RPM =       1000                                                                                
                                                                                                              
         V          J           Pe         Ct          Cp          PWR         Torque      Thrust             
       (mph)     (Adv Ratio)                                       (Hp)        (In-Lbf)     (Lbf)             
         0.0        0.00      0.0000      0.1376      0.0864       0.000       0.010       0.013              
         0.3        0.04      0.0677      0.1378      0.0884       0.000       0.010       0.013              
         0.6        0.09      0.1325      0.1379      0.0903       0.000       0.010       0.013              
         0.9        0.13      0.1945      0.1379      0.0923       0.000       0.010       0.013              
         1.2        0.17      0.2537      0.1377      0.0942       0.000       0.011       0.013              
         1.5        0.22      0.3100      0.1373      0.0961       0.000       0.011       0.013              
         1.8        0.26      0.3635      0.1367      0.0979       0.000       0.011       0.013              
         2.1        0.30      0.4141      0.1359      0.0997       0.000       0.011       0.013              
         2.4        0.35      0.4618      0.1348      0.1014       0.000       0.011       0.013              
         2.7        0.39      0.5067      0.1335      0.1029       0.000       0.012       0.013              
         3.0        0.43      0.5488      0.1317      0.1042       0.000       0.012       0.013              
         3.3        0.48      0.5880      0.1296      0.1052       0.000       0.012       0.012              
         3.6        0.52      0.6243      0.1271      0.1060       0.000       0.012       0.012              
         4.0        0.56      0.6577      0.1240      0.1063       0.000       0.012       0.012              
         4.3        0.61      0.6882      0.1203      0.1062       0.000       0.012       0.011              
         4.6        0.65      0.7158      0.1157      0.1052       0.000       0.012       0.011              
         4.9        0.69      0.7403      0.1102      0.1034       0.000       0.012       0.011              
         5.2        0.74      0.7616      0.1041      0.1008       0.000       0.011       0.010              
         5.5        0.78      0.7798      0.0970      0.0972       0.000       0.011       0.009              
         5.8        0.82      0.7952      0.0890      0.0922       0.000       0.010       0.008              
         6.1        0.87      0.8078      0.0808      0.0868       0.000       0.010       0.008              
         6.4        0.91      0.8180      0.0725      0.0807       0.000       0.009       0.007              
         6.7        0.95      0.8259      0.0640      0.0740       0.000       0.008       0.006              
         7.0        1.00      0.8322      0.0553      0.0664       0.000       0.007       0.005              
         7.3        1.04      0.8356      0.0465      0.0579       0.000       0.007       0.004              
         7.6        1.08      0.8340      0.0374      0.0486       0.000       0.005       0.004              
         7.9        1.13      0.8229      0.0283      0.0387       0.000       0.004       0.003              
         8.2        1.17      0.7905      0.0190      0.0282       0.000       0.003       0.002              
         8.5        1.21      0.6936      0.0096      0.0169       0.000       0.002       0.001              
         8.8        1.26      0.0015      0.0000      0.0051       0.000       0.001       0.000              
                                                                                                              
                                                                                                              
                                                                                                              
         PROP RPM =       2000                                                                                
                                                                                                              
         V          J           Pe         Ct          Cp          PWR         Torque      Thrust             
       (mph)     (Adv Ratio)                                       (Hp)        (In-Lbf)     (Lbf)             
         0.0        0.00      0.0000      0.1376      0.0865       0.001       0.039       0.053              
         0.6        0.04      0.0676      0.1378      0.0884       0.001       0.040       0.053              
         1.2        0.09      0.1323      0.1380      0.0904       0.001       0.041       0.053              
         1.8        0.13      0.1942      0.1380      0.0924       0.001       0.042       0.053              
         2.4        0.17      0.2533      0.1378      0.0943       0.001       0.042       0.053              
         3.0        0.22      0.3095      0.1374      0.0962       0.001       0.043       0.053              
         3.6        0.26      0.3630      0.1368      0.0980       0.001       0.044       0.052              
         4.3        0.30      0.4135      0.1360      0.0998       0.001       0.045       0.052              
         4.9        0.35      0.4613      0.1349      0.1014       0.001       0.046       0.052              
         5.5        0.39      0.5061      0.1336      0.1029       0.001       0.046       0.051              
         6.1        0.43      0.5482      0.1319      0.1042       0.001       0.047       0.050              
         6.7        0.48      0.5874      0.1298      0.1053       0.002       0.047       0.050              
         7.3        0.52      0.6237      0.1272      0.1061       0.002       0.048       0.049              
         7.9        0.56      0.6572      0.1241      0.1064       0.002       0.048       0.047              
         8.5        0.61      0.6877      0.1204      0.1063       0.002       0.048       0.046              
         9.1        0.65      0.7153      0.1158      0.1053       0.002       0.047       0.044              
         9.7        0.69      0.7399      0.1104      0.1035       0.001       0.047       0.042              
        10.3        0.74      0.7612      0.1043      0.1010       0.001       0.045       0.040              
        10.9        0.78      0.7794      0.0973      0.0974       0.001       0.044       0.037              
        11.5        0.82      0.7949      0.0892      0.0924       0.001       0.042       0.034              
        12.1        0.87      0.8076      0.0810      0.0870       0.001       0.039       0.031              
        12.8        0.91      0.8178      0.0727      0.0810       0.001       0.036       0.028              
        13.4        0.95      0.8258      0.0643      0.0742       0.001       0.033       0.025              
        14.0        1.00      0.8320      0.0556      0.0666       0.001       0.030       0.021              
        14.6        1.04      0.8356      0.0467      0.0582       0.001       0.026       0.018              
        15.2        1.08      0.8342      0.0377      0.0489       0.001       0.022       0.014              
        15.8        1.13      0.8232      0.0284      0.0389       0.001       0.018       0.011              
        16.4        1.17      0.7909      0.0191      0.0283       0.000       0.013       0.007              
        17.0        1.21      0.6934      0.0097      0.0169       0.000       0.008       0.004              
        17.6        1.26      0.0017      0.0000      0.0051       0.000       0.002       0.000              
                                                                                                              
                                                                                                              
                                                                                                              
         PROP RPM =       3000                                                                                
                                                                                                              
         V          J           Pe         Ct          Cp          PWR         Torque      Thrust             
       (mph)     (Adv Ratio)                                       (Hp)        (In-Lbf)     (Lbf)             
         0.0        0.00      0.0000      0.1376      0.0865       0.004       0.088       0.118              
         0.9        0.04      0.0676      0.1378      0.0884       0.004       0.089       0.118              
         1.8        0.09      0.1323      0.1380      0.0904       0.004       0.092       0.119              
         2.7        0.13      0.1942      0.1380      0.0924       0.004       0.094       0.119              
         3.6        0.17      0.2534      0.1378      0.0943       0.005       0.096       0.118              
         4.6        0.22      0.3097      0.1374      0.0962       0.005       0.097       0.118              
         5.5        0.26      0.3631      0.1368      0.0980       0.005       0.099       0.118              
         6.4        0.30      0.4137      0.1360      0.0998       0.005       0.101       0.117              
         7.3        0.35      0.4614      0.1350      0.1014       0.005       0.103       0.116              
         8.2        0.39      0.5063      0.1336      0.1029       0.005       0.104       0.115              
         9.1        0.43      0.5484      0.1319      0.1042       0.005       0.106       0.113              
        10.0        0.48      0.5875      0.1298      0.1053       0.005       0.107       0.112              
