J       CT       CP       eta
0.093   0.0942   0.0385   0.227
0.121   0.0922   0.0388   0.288
0.146   0.0910   0.0392   0.339
0.170   0.0892   0.0394   0.384
0.194   0.0868   0.0396   0.425
0.218   0.0843   0.0398   0.462
0.241   0.0814   0.0397   0.495
0.266   0.0778   0.0395   0.525
0.291   0.0732   0.0387   0.551
0.314   0.0679   0.0373   0.572
0.335   0.0633   0.0360   0.589
0.357   0.0578   0.0342   0.603
0.380   0.0527   0.0324   0.619
0.406   0.0474   0.0304   0.633
0.428   0.0433   0.0289   0.643
0.452   0.0392   0.0272   0.652
0.484   0.0338   0.0249   0.658
