         5x4E-3                   (5x4E-3.dat)                                 08/25/16             
                                                                                                    
                                                                                                    
         ====== PERFORMANCE DATA (versus advance ratio and MPH) ======                              
                                                                                                    
         DEFINITIONS:                                                                               
         J=V/nD (advance ratio)                                                                     
         Ct=T/(rho * n**2 * D**4) (thrust coef.)                                                    
         Cp=P/(rho * n**3 * D**5) (power coef.)                                                     
         Pe=Ct*J/Cp (efficiency)                                                                    
         V  (model speed in MPH)                                                                    
                                                                                                    
                                                                                                    
         PROP RPM =       5000                                                                      
                                                                                                    
         V          J           Pe         Ct          Cp          PWR         Torque      Thrust   
       (mph)     (Adv Ratio)                                       (Hp)        (In-Lbf)     (Lbf)   
         0.0        0.00      0.0000      0.2602      0.1659       0.005       0.066       0.129    
         0.9        0.04      0.0559      0.2588      0.1679       0.005       0.067       0.129    
         1.7        0.07      0.1098      0.2571      0.1698       0.005       0.067       0.128    
         2.6        0.11      0.1617      0.2551      0.1714       0.005       0.068       0.127    
         3.4        0.14      0.2117      0.2524      0.1728       0.005       0.068       0.126    
         4.3        0.18      0.2598      0.2492      0.1737       0.005       0.069       0.124    
         5.1        0.22      0.3060      0.2451      0.1741       0.005       0.069       0.122    
         6.0        0.25      0.3502      0.2399      0.1737       0.005       0.069       0.119    
         6.9        0.29      0.3925      0.2326      0.1717       0.005       0.068       0.116    
         7.7        0.33      0.4327      0.2240      0.1688       0.005       0.067       0.111    
         8.6        0.36      0.4702      0.2153      0.1659       0.005       0.066       0.107    
         9.4        0.40      0.5054      0.2071      0.1633       0.005       0.065       0.103    
        10.3        0.43      0.5382      0.1980      0.1600       0.005       0.063       0.099    
        11.2        0.47      0.5683      0.1887      0.1564       0.005       0.062       0.094    
        12.0        0.51      0.5959      0.1792      0.1525       0.005       0.060       0.089    
        12.9        0.54      0.6210      0.1694      0.1482       0.005       0.059       0.084    
        13.7        0.58      0.6437      0.1593      0.1434       0.005       0.057       0.079    
        14.6        0.62      0.6641      0.1489      0.1381       0.004       0.055       0.074    
        15.4        0.65      0.6821      0.1382      0.1321       0.004       0.052       0.069    
        16.3        0.69      0.6979      0.1272      0.1254       0.004       0.050       0.063    
        17.2        0.72      0.7117      0.1158      0.1179       0.004       0.047       0.058    
        18.0        0.76      0.7225      0.1041      0.1097       0.003       0.043       0.052    
        18.9        0.80      0.7295      0.0921      0.1007       0.003       0.040       0.046    
        19.7        0.83      0.7309      0.0798      0.0910       0.003       0.036       0.040    
        20.6        0.87      0.7244      0.0671      0.0806       0.003       0.032       0.033    
        21.4        0.91      0.7049      0.0542      0.0696       0.002       0.028       0.027    
        22.3        0.94      0.6594      0.0410      0.0585       0.002       0.023       0.020    
        23.2        0.98      0.5650      0.0275      0.0476       0.001       0.019       0.014    
        24.0        1.01      0.3795      0.0138      0.0370       0.001       0.015       0.007    
        24.9        1.05     -0.0030     -0.0001      0.0267       0.001       0.011       0.000    
                                                                                                    
                                                                                                    
                                                                                                    
         PROP RPM =       6000                                                                      
