         15x13.5-3Blade           (15x135-3.dat)                               12/21/14                       
                                                                                                              
                                                                                                              
         ====== PERFORMANCE DATA (versus advance ratio and MPH) ======                                        
                                                                                                              
         DEFINITIONS:                                                                                         
         J=V/nD (advance ratio)                                                                               
         Ct=T/(rho * n**2 * D**4) (thrust coef.)                                                              
         Cp=P/(rho * n**3 * D**5) (power coef.)                                                               
         Pe=Ct*J/Cp (efficiency)                                                                              
         V  (model speed in MPH)                                                                              
                                                                                                              
                                                                                                              
         PROP RPM =       1000                                                                                
                                                                                                              
         V          J           Pe         Ct          Cp          PWR         Torque      Thrust             
       (mph)     (Adv Ratio)                                       (Hp)        (In-Lbf)     (Lbf)             
         0.0        0.00      0.0000      0.1410      0.0806       0.005       0.310       0.227              
         0.6        0.04      0.0671      0.1411      0.0823       0.005       0.317       0.228              
         1.1        0.08      0.1315      0.1413      0.0841       0.005       0.324       0.228              
         1.7        0.12      0.1931      0.1415      0.0860       0.005       0.331       0.228              
         2.2        0.16      0.2518      0.1417      0.0880       0.005       0.339       0.228              
         2.8        0.20      0.3077      0.1418      0.0902       0.006       0.347       0.229              
         3.3        0.23      0.3607      0.1420      0.0924       0.006       0.356       0.229              
         3.9        0.27      0.4108      0.1420      0.0947       0.006       0.365       0.229              
         4.4        0.31      0.4581      0.1421      0.0971       0.006       0.374       0.229              
         5.0        0.35      0.5026      0.1420      0.0995       0.006       0.383       0.229              
         5.6        0.39      0.5444      0.1417      0.1019       0.006       0.392       0.229              
         6.1        0.43      0.5835      0.1408      0.1038       0.006       0.400       0.227              
         6.7        0.47      0.6203      0.1387      0.1050       0.006       0.404       0.224              
         7.2        0.51      0.6544      0.1354      0.1052       0.006       0.405       0.218              
         7.8        0.55      0.6856      0.1308      0.1045       0.006       0.402       0.211              
         8.3        0.59      0.7140      0.1246      0.1024       0.006       0.394       0.201              
         8.9        0.63      0.7394      0.1167      0.0988       0.006       0.381       0.188              
         9.4        0.67      0.7608      0.1087      0.0950       0.006       0.366       0.175              
        10.0        0.70      0.7785      0.1005      0.0909       0.006       0.350       0.162              
        10.6        0.74      0.7923      0.0922      0.0865       0.005       0.333       0.149              
        11.1        0.78      0.8022      0.0837      0.0816       0.005       0.314       0.135              
        11.7        0.82      0.8081      0.0750      0.0763       0.005       0.294       0.121              
        12.2        0.86      0.8093      0.0662      0.0704       0.004       0.271       0.107              
        12.8        0.90      0.8058      0.0571      0.0638       0.004       0.246       0.092              
        13.3        0.94      0.7948      0.0478      0.0565       0.003       0.218       0.077              
        13.9        0.98      0.7713      0.0383      0.0486       0.003       0.187       0.062              
        14.5        1.02      0.7286      0.0288      0.0402       0.002       0.155       0.046              
        15.0        1.06      0.6442      0.0192      0.0315       0.002       0.121       0.031              
        15.6        1.10      0.4666      0.0096      0.0227       0.001       0.087       0.016              
        16.1        1.13     -0.0002      0.0000      0.0138       0.001       0.053       0.000              
                                                                                                              
                                                                                                              
                                                                                                              
         PROP RPM =       2000                                                                                
                                                                                                              
