         18x6W                    (18x6W.dat)                                  12/22/14                       
                                                                                                              
                                                                                                              
         ====== PERFORMANCE DATA (versus advance ratio and MPH) ======                                        
                                                                                                              
         DEFINITIONS:                                                                                         
         J=V/nD (advance ratio)                                                                               
         Ct=T/(rho * n**2 * D**4) (thrust coef.)                                                              
         Cp=P/(rho * n**3 * D**5) (power coef.)                                                               
         Pe=Ct*J/Cp (efficiency)                                                                              
         V  (model speed in MPH)                                                                              
                                                                                                              
                                                                                                              
         PROP RPM =       1000                                                                                
                                                                                                              
         V          J           Pe         Ct          Cp          PWR         Torque      Thrust             
       (mph)     (Adv Ratio)                                       (Hp)        (In-Lbf)     (Lbf)             
         0.0        0.00      0.0000      0.0779      0.0266       0.004       0.255       0.260              
         0.3        0.02      0.0530      0.0762      0.0266       0.004       0.255       0.255              
         0.6        0.04      0.1035      0.0745      0.0267       0.004       0.256       0.249              
         0.9        0.06      0.1515      0.0727      0.0267       0.004       0.256       0.243              
         1.3        0.07      0.1968      0.0707      0.0267       0.004       0.255       0.237              
         1.6        0.09      0.2395      0.0687      0.0266       0.004       0.255       0.230              
         1.9        0.11      0.2795      0.0666      0.0265       0.004       0.254       0.223              
         2.2        0.13      0.3169      0.0644      0.0264       0.004       0.253       0.216              
         2.5        0.15      0.3516      0.0622      0.0262       0.004       0.251       0.208              
         2.8        0.17      0.3838      0.0599      0.0260       0.004       0.249       0.200              
         3.2        0.19      0.4133      0.0575      0.0258       0.004       0.247       0.192              
         3.5        0.20      0.4403      0.0551      0.0255       0.004       0.244       0.184              
         3.8        0.22      0.4650      0.0526      0.0252       0.004       0.241       0.176              
         4.1        0.24      0.4875      0.0500      0.0247       0.004       0.237       0.167              
         4.4        0.26      0.5077      0.0474      0.0242       0.004       0.232       0.159              
         4.7        0.28      0.5259      0.0447      0.0236       0.004       0.226       0.150              
         5.1        0.30      0.5422      0.0419      0.0229       0.003       0.220       0.140              
         5.4        0.32      0.5560      0.0391      0.0222       0.003       0.212       0.131              
         5.7        0.33      0.5677      0.0362      0.0213       0.003       0.204       0.121              
         6.0        0.35      0.5765      0.0332      0.0203       0.003       0.194       0.111              
         6.3        0.37      0.5836      0.0301      0.0192       0.003       0.184       0.101              
         6.6        0.39      0.5876      0.0270      0.0179       0.003       0.171       0.090              
         7.0        0.41      0.5866      0.0238      0.0166       0.003       0.159       0.080              
